id	gender	ethnic	soc_eco	schooltype	programtype	read	write	math	science	social
132	0	4	2	1	2	73	62	73	69	66
133	0	4	2	1	3	50	31	40	34	31
134	0	4	1	1	1	44	44	39	34	46
135	1	4	1	1	2	63	60	65	54	66
136	0	4	2	1	2	65	59	70	63	51
137	1	4	3	1	2	63	65	65	53	61
138	1	4	2	1	3	43	57	40	50	51
139	1	4	2	1	2	68	59	61	55	71
140	0	4	2	1	3	44	41	40	50	26
141	0	4	3	1	3	63	44	47	53	56
142	1	4	2	1	3	47	42	52	39	51
143	0	4	2	1	3	63	63	75	72	66
144	0	4	3	1	1	60	65	58	61	66
145	1	4	2	1	3	42	46	38	36	46
146	0	4	3	1	2	55	62	64	63	66
147	1	4	1	1	2	47	62	53	53	61
148	1	4	2	1	3	42	57	51	47	61
149	0	4	1	1	1	63	49	49	66	46
150	0	4	2	1	3	42	41	57	72	31
151	1	4	2	1	3	47	46	52	48	46
152	1	4	3	1	2	55	57	56	58	61
153	0	4	2	1	3	39	31	40	39	51
154	0	4	3	1	2	65	65	66	61	66
155	0	4	2	1	1	44	44	46	39	51
156	1	4	2	1	2	50	59	53	61	61
157	0	4	2	1	1	68	59	58	74	66
158	1	4	2	1	1	52	54	55	53	51
159	0	4	3	1	2	55	61	54	49	61
160	1	4	2	1	2	55	65	55	50	61
161	1	4	1	1	2	57	62	72	61	61
162	1	4	2	1	3	57	52	40	61	56
163	1	4	1	1	2	52	57	64	58	56
164	0	4	2	1	3	31	36	46	39	46
165	0	4	1	1	3	36	49	54	61	36
166	1	4	2	1	2	52	59	53	61	51
167	0	4	2	1	1	63	49	35	66	41
168	0	4	2	1	2	52	54	57	55	51
169	0	4	1	1	1	55	59	63	69	46
170	0	4	3	1	2	47	62	61	69	66
171	0	4	2	1	2	60	54	60	55	66
172	0	4	2	1	2	47	52	57	53	61
173	1	4	1	1	1	50	62	61	63	51
174	0	4	2	2	2	68	59	71	66	56
175	1	4	3	2	1	36	57	42	50	41
176	0	4	2	2	2	47	47	41	42	51
177	0	4	2	2	2	55	59	62	58	51
178	0	4	2	2	3	47	57	57	58	46
179	1	4	2	2	2	47	65	60	50	56
180	1	4	3	2	2	71	65	69	58	71
181	0	4	2	2	2	50	46	45	58	61
182	1	4	2	2	2	44	52	43	44	51
183	0	4	2	2	2	63	59	49	55	71
184	1	4	2	2	3	50	52	53	55	56
185	0	4	2	2	2	63	57	55	58	41
186	1	4	2	2	2	57	62	63	55	41
187	1	4	2	2	1	57	41	57	55	52
188	1	4	3	2	2	63	62	56	55	61
189	0	4	2	2	2	47	59	63	53	46
190	1	4	2	2	2	47	59	54	58	46
191	1	4	3	2	2	47	52	43	48	61
192	0	4	3	2	2	65	67	63	66	71
193	1	4	2	2	2	44	49	48	39	51
194	1	4	3	2	2	63	63	69	61	61
195	0	4	2	2	1	57	57	60	58	56
196	0	4	3	2	2	44	38	49	39	46
197	0	4	3	2	2	50	42	50	36	61
198	1	4	3	2	2	47	61	51	63	31
199	0	4	3	2	2	52	59	50	61	61
200	0	4	2	2	2	68	54	75	66	66
